Station Name,State Name,District Name,Basin Name,Sub Basin Name,Agency Name,Date Collection,Total Alkalinity (mg/L),Arsenic (mg/L),Calcium (mg/L),Chloride (mg/L),Carbonate (mg/L),Electrical Conductivity (mumhos/cm) at 25 C),Fluoride (mg/L),Iron (mg/L),Total Hardness (mg/L),Bicarbonate (mg/L),Potassium (mg/L),Magnesium (mg/L),Sodium (mg/L),Nitrate (mg/L),"Phosphorus, ortho-phosphate (mg/L)",pH2,Residual Sodium Carbonate,Sodium Absorption Ratio,Silicate (SiO2) (mg/L),Sulphate (mg/L),Total Dissolved Solids (mg/L),Uranium,Latitude,Longitude
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Thiyagarayanagar,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,330.3,,122.0,252.0,0.0,1825.0,,,465.0,403.0,5.0,39.0,210.0,27.0,,7.04,,4.23,,250.0,,,13.04268355862069,80.23468378551723
Tirumangalam1,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,345.1,,88.0,284.0,0.0,1620.0,,,400.0,421.0,4.0,44.0,220.0,22.0,,7.3,,4.78,,88.0,,,9.8238241,77.9862243
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Vepery,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,314.8,,90.0,85.0,0.0,750.0,,,300.0,384.0,4.0,18.0,3.0,,,7.92,0.31,0.08,,24.0,,,13.08333333,80.27083333
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Aminjikarai,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,390.2,,104.0,316.0,0.0,1940.0,,,445.0,476.0,50.0,45.0,210.0,102.0,,7.4,,4.33,,70.0,,,13.0721399,80.2205453
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Kodambakkam,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,569.7,,90.0,578.0,0.0,3070.0,,,465.0,695.0,90.0,58.0,510.0,40.0,,7.3,2.12,10.3,,175.0,,,13.049207,80.2242829
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
Guindy(CLRI),Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,169.7,,126.0,131.0,0.0,1120.0,,,330.0,207.0,2.0,4.0,124.0,,,7.39,,2.96,,278.0,,,13.02222222,80.225
Tondiarpet,Tamil Nadu,Chennai,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,CGWB,2000-05,735.2,,52.0,734.0,0.0,3550.0,,,385.0,897.0,10.0,62.0,720.0,58.0,,7.42,7.01,15.95,,83.0,,,13.11666667,80.275
